ts_code,date,close,price_change_pct,zhixing_white,zhixing_yellow,brick_chart,brick_white,brick_red_len,brick_green_len,shadow_body_ratio,strong_white_ok,tight_candle_ok,price_under_4_ok,signal_year,fwd_ret_1d,fwd_ret_3d,fwd_ret_5d,fwd_ret_10d,fwd_ret_20d,market_cap_date,total_mv,circ_mv,total_mv_billion_cny,circ_mv_billion_cny,market_cap_bucket
000001.SZ,2018-09-18,8.09,3.984575835475579,7.956579157437532,7.810393170426065,62.51113744207693,1,17.426829970328555,8.409046244140129,0.1785714285714246,True,True,True,2018,0.016069221260816002,0.05933250927070466,0.06304079110012362,0.03708281829419047,0.09517923362175518,2018-08-31,17393626.7138,17393459.981,173.93626713799998,173.93459980999998,100-200B
000027.SZ,2018-09-18,3.83,1.055408970976246,3.787896493319884,3.7693374060150378,115.059937471762,1,7.849623034912057,3.5452897496760016,0.14285714285713924,True,True,True,2018,0.005221932114882533,0.03394255874673635,0.02872062663185382,0.02088772845953013,-0.023498694516971286,2018-08-31,2065500.122,2065500.122,20.65500122,20.65500122,20-50B
000661.SZ,2018-09-18,101.93,2.980400080824408,103.86528488352273,102.10166666666666,68.32415441090751,1,9.226977729043284,2.0069385378748166,0.39488636363636265,True,True,True,2018,-0.010791719807711209,0.04100853526930237,0.06327872069066998,0.02236829196507384,-0.22633179633081535,2018-08-31,3919046.3611,3915378.3429,39.190463611,39.153783429,20-50B
000708.SZ,2018-09-18,4.21,1.937046004842613,4.211021808140941,4.160800438596492,83.93596311997015,1,14.119698467892277,4.22060073860149,0.3750000000000028,True,True,True,2018,0.0213776722090262,0.030878859857482066,0.05700712589073631,0.052256532066508266,-0.05463182897862229,2018-08-31,438173.268,438173.268,4.38173268,4.38173268,<20B
000778.SZ,2018-09-18,3.81,2.972972972972965,3.8414718280172635,3.753184523809524,67.91129175328504,1,19.25585300487535,4.530858115300518,0.29999999999999777,True,True,True,2018,0.01049868766404205,0.034120734908136496,0.023622047244094446,0.015748031496062964,-0.04199475065616798,2018-08-31,1959522.1664,1925235.3153,19.595221664,19.252353152999998,<20B
002179.SZ,2018-09-18,17.2,2.9940119760478945,16.8260725477955,16.543807957393483,95.13550240702074,1,7.887285579229598,7.46752280518939,0.2222222222222244,True,True,True,2018,0.04418604651162794,0.03430232558139523,0.027906976744185963,-0.014534883720930258,-0.06395348837209291,2018-08-31,3266585.9542,3231607.2578,32.665859542,32.316072577999996,20-50B
002368.SZ,2018-09-18,20.84,1.8572825024437911,22.058316321747355,21.67846177944862,61.13520289001974,1,3.7383059024858056,2.72708555977745,0.3333333333333352,True,True,True,2018,-0.0004798464491363452,-0.04606525911708259,-0.014875239923224481,-0.07149712092130511,-0.06477927063339739,2018-08-31,1384789.5354,1335539.0758,13.847895353999998,13.355390758,<20B
002545.SZ,2018-09-18,5.39,3.8535645472061564,5.154500975883309,5.141318922305764,80.25933728713683,1,15.00460969929371,6.757011698986119,0.25000000000000444,True,True,True,2018,-0.0037105751391465214,0.00927643784786647,0.0,-0.04081632653061218,-0.1410018552875696,2018-08-31,816009.4462,390860.1061,8.160094462,3.9086010609999997,<20B
600028.SH,2018-09-18,4.33,1.6431924882629234,4.206500277931602,4.134301378446115,104.64523743954868,1,6.0318251492551695,3.243627513699849,0.24999999999999445,True,True,True,2018,0.01616628175519641,0.018475750577367167,0.036951501154734334,-0.020785219399538035,-0.09237875288683606,2018-08-31,82812707.3979,65361515.3955,828.127073979,653.615153955,200B+
600036.SH,2018-09-18,20.78,2.667984189723338,20.521253410678128,20.354937343358397,92.62601118628623,1,12.623418997592097,1.2275425081726041,0.18518518518517374,True,True,True,2018,0.007699711260827691,0.0750721847930702,0.0803657362848893,0.05004812319538021,0.042829643888354196,2018-08-31,71346943.2052,58359283.7896,713.469432052,583.592837896,200B+
