gain_bucket,signal_count,avg_return,median_return,win_rate
<=0%,49,0.0008012893164047288,-0.01080182800166185,0.40816326530612246
0-1%,1561,0.0028934169131793522,0.0,0.48302370275464446
1-2%,8431,0.0007248088048044719,-0.002320185614849146,0.46340884829794804
2-3%,11460,0.002297389562386669,-0.0026443372258349584,0.46823734729493893
3-4%,10431,0.002314748726896011,-0.0039999999999998925,0.4644808743169399
