market_cap_bucket,signal_count,avg_return,median_return,win_rate
<20B,24371,0.0026724733035196385,-0.002152080344332785,0.4724467604940298
20-50B,4226,-0.0008420477697045264,-0.005110736246394965,0.44297207761476576
50-100B,1331,0.002234079420079458,-0.0027966440271673942,0.46431254695717505
100-200B,988,-0.001649199326805149,-0.0052476756032418526,0.44129554655870445
200B+,977,-0.0019519944248668447,-0.004149377593361092,0.44012282497441146
