signal_year,signal_count,avg_return,win_rate
2018,504,-0.014327825771506101,0.3551587301587302
2019,4019,0.01165141700927924,0.5655635730281164
2020,3687,0.0030982982697199814,0.47192839707078926
2021,3288,-0.0007462126022292649,0.42883211678832117
2022,2939,-0.005278320619719234,0.4025178632187819
2023,4892,-0.001987805662954846,0.4157808667211774
2024,4889,-0.0028020714240942664,0.4133769687052567
2025,6534,0.007928386875776107,0.5385674931129476
2026,1180,-0.0002569018124486553,0.4516949152542373
