indicator,signal,regime,sector,horizon,n,mean,median,p25,p75,win_rate
MA,golden,bull,Consumer Discretionary,20d,130,0.018731699721380567,0.014654520550617556,-0.017121555281170653,0.05346919673982986,0.5909090909090909
MA,golden,bull,Consumer Staples,20d,121,0.005286311406256517,0.005639097744360777,-0.020082987551867215,0.029181555215245902,0.5396825396825397
MA,golden,bull,Energy,20d,57,0.01483556831564426,0.010846407127638846,-0.024479524136353237,0.06015468347178454,0.5166666666666667
MA,golden,bull,Financials,20d,193,0.007990924915815609,0.010866785988238314,-0.015778758059043052,0.03945111492281317,0.6051282051282051
MA,golden,bull,Health Care,20d,159,0.012966292145200564,0.01183587585481316,-0.015977642833865435,0.052492113708712096,0.572289156626506
MA,golden,bull,Industrials,20d,168,0.011957096162469105,0.013865266630164852,-0.01752765314119828,0.041424114885188656,0.6272189349112426
MA,golden,bull,Information Technology,20d,107,0.027798479570293022,0.016734067772974592,-0.01611724529661135,0.05515670559300245,0.6074766355140186
MA,golden,bull,Materials,20d,66,0.01348926024363436,0.008207693467001342,-0.015956949550741006,0.03671210868346714,0.5970149253731343
MA,golden,bull,Real Estate,20d,75,0.00858253031359058,0.004639773166645211,-0.018849451765931835,0.03526887218852859,0.5466666666666666
MA,golden,bull,Unknown,20d,441,0.0024373352602357315,0.005688033253117508,-0.03508771929824561,0.04201394795033164,0.5109649122807017
MA,golden,bull,Utilities,20d,67,0.003512959363722014,0.003126675004466728,-0.017448242721591234,0.023588884044032477,0.5671641791044776
MACD,dead,bear,Communication Services,20d,63,0.031281641725551396,0.022007838408200087,-0.019249894554632996,0.07850292588463315,0.6666666666666666
MACD,dead,bear,Consumer Discretionary,20d,214,0.016903784379770585,0.02087795149424365,-0.02932896434637519,0.0714091708769195,0.602803738317757
MACD,dead,bear,Consumer Staples,20d,189,0.027739785968200523,0.024206886182528864,-0.002922908293752191,0.05368135927111539,0.7195767195767195
MACD,dead,bear,Energy,20d,93,0.0019482322059587943,0.003225806451612856,-0.06556216369300494,0.081379772270596,0.5483870967741935
MACD,dead,bear,Financials,20d,258,-0.0060585972853524905,-0.010822675892581402,-0.061566524533959055,0.04736332703560181,0.437984496124031
MACD,dead,bear,Health Care,20d,249,0.004980325075616263,0.00525174106633175,-0.04887859580692355,0.05770992366412209,0.5220883534136547
MACD,dead,bear,Industrials,20d,276,0.006495700086285439,0.0005893137768465673,-0.04034031549684505,0.05227314563305069,0.5
MACD,dead,bear,Information Technology,20d,192,0.01542739711477569,0.008053905087187396,-0.05943517013027194,0.08423390995459878,0.53125
MACD,dead,bear,Materials,20d,81,-0.0006810048306566101,-0.023018310926716357,-0.06688695303895065,0.055012224938875365,0.38271604938271603
MACD,dead,bear,Real Estate,20d,112,0.013085946277296642,0.016816419575662822,-0.015535589976818448,0.04549703998695065,0.6607142857142857
MACD,dead,bear,Unknown,20d,700,0.0027105537274978156,-0.00286134603419691,-0.06079035084308179,0.06138824466788273,0.48857142857142855
MACD,dead,bear,Utilities,20d,172,0.033066074017453984,0.04610867089637216,-0.010586496541327955,0.07497577011368906,0.7034883720930233
MACD,dead,bull,Communication Services,20d,687,0.014861174218123394,0.011188877217416016,-0.025826694185227983,0.04844824509877366,0.5757142857142857
MACD,dead,bull,Consumer Discretionary,20d,1717,0.0170741929376973,0.016602809706258048,-0.023422430421603746,0.05926928281461419,0.5975056689342404
MACD,dead,bull,Consumer Staples,20d,1500,0.009551609788213646,0.009606652038949948,-0.02054070853918341,0.03795465017021893,0.5811074918566775
MACD,dead,bull,Energy,20d,704,0.008390729500371823,0.004382982003329872,-0.03833529438436234,0.04943449287790802,0.5144827586206897
MACD,dead,bull,Financials,20d,2491,0.014320146732225392,0.01331114808652245,-0.019945376144121396,0.04664622893171244,0.6003140950137417
MACD,dead,bull,Health Care,20d,2064,0.019029869470109293,0.01408074642449142,-0.016917588537379485,0.053520585438820656,0.6035950804162725
MACD,dead,bull,Industrials,20d,2398,0.014291430936644959,0.013407427000196814,-0.019884695545831638,0.046021384883927874,0.5906504065040651
MACD,dead,bull,Information Technology,20d,1720,0.017579194358248874,0.013521717728135818,-0.024973811452013966,0.052871114063388513,0.5816326530612245
MACD,dead,bull,Materials,20d,848,0.014841162786859917,0.012022292468872098,-0.024642774893840008,0.05321022512653922,0.5848623853211009
MACD,dead,bull,Real Estate,20d,1115,0.0034516475767116498,0.005309505309505358,-0.03001756923782195,0.03889020169337798,0.543459174714662
MACD,dead,bull,Unknown,20d,5805,0.008787639092229283,0.008664627930682789,-0.03127987979784175,0.04936854190585538,0.54209996645421
MACD,dead,bull,Utilities,20d,1184,0.005505629753141947,0.008472861789781683,-0.026633941775731,0.039097028727901606,0.5446280991735537
MACD,golden,bear,Communication Services,20d,77,0.025705516145444446,0.027567567567567508,-0.03132433515969524,0.0817562452687357,0.6363636363636364
MACD,golden,bear,Consumer Discretionary,20d,212,0.020233535661357167,0.019027247018652438,-0.0303346189460498,0.07061845523643145,0.589622641509434
MACD,golden,bear,Consumer Staples,20d,176,0.02272081943287261,0.020931060320548922,-0.014534631909123852,0.053146422238446456,0.6534090909090909
MACD,golden,bear,Energy,20d,86,-0.009341134518480834,-0.005411483743187229,-0.09297041076950122,0.09127231812046538,0.4883720930232558
MACD,golden,bear,Financials,20d,275,-0.0035459403911563725,0.0037234042553191404,-0.054789680915346195,0.05869259122023518,0.5163636363636364
MACD,golden,bear,Health Care,20d,251,0.00042240439630510953,0.0013210039630118242,-0.05427702897025949,0.06041388242110701,0.5099601593625498
MACD,golden,bear,Industrials,20d,278,0.015734922596559106,0.02373980192350722,-0.04247667749892722,0.08073918419343562,0.579136690647482
MACD,golden,bear,Information Technology,20d,201,0.016990685878323846,0.01776171015403971,-0.057980248486779185,0.08955771701229565,0.5771144278606966
MACD,golden,bear,Materials,20d,95,0.02257403869895021,0.04113566704307159,-0.06277912192888763,0.10133724674084077,0.6
MACD,golden,bear,Real Estate,20d,116,0.03231723387233879,0.029409231953717807,-0.006286344750999012,0.07517457886814749,0.6637931034482759
MACD,golden,bear,Unknown,20d,703,0.009651862223111403,0.015600000000000058,-0.060988853597602366,0.07374801384678609,0.55049786628734
MACD,golden,bear,Utilities,20d,157,0.030788670819236058,0.03540297706852624,0.00982800982800991,0.06276463262764631,0.8152866242038217
MACD,golden,bull,Communication Services,20d,669,0.015953696119980383,0.011860174781523236,-0.02201467645096733,0.04772557792692034,0.5857988165680473
MACD,golden,bull,Consumer Discretionary,20d,1719,0.0114400107796997,0.01154144933969592,-0.02771408878718684,0.05044262595080917,0.5761056863871339
MACD,golden,bull,Consumer Staples,20d,1501,0.007903232081431403,0.007697382889817472,-0.022445561139028514,0.037969779155366146,0.5540275049115914
MACD,golden,bull,Energy,20d,716,0.006914086895356517,0.004951260807364299,-0.03308488029311621,0.0526473759884975,0.5332409972299169
MACD,golden,bull,Financials,20d,2480,0.015433392934625683,0.015037749033061543,-0.01734027928352841,0.047924760949184186,0.6161213088587391
MACD,golden,bull,Health Care,20d,2071,0.01754425010482885,0.012869038607115746,-0.020471163892842426,0.052623545213476675,0.6098848368522073
MACD,golden,bull,Industrials,20d,2411,0.01227783619019874,0.012394312067640412,-0.022162451100526948,0.045290691307046105,0.5869297163995068
MACD,golden,bull,Information Technology,20d,1731,0.018905014156189805,0.01782648884193838,-0.021309620693783893,0.056306739749396595,0.6149425287356322
MACD,golden,bull,Materials,20d,840,0.01068022271227171,0.008446389243835117,-0.03087936019060883,0.05157159084209251,0.5537190082644629
MACD,golden,bull,Real Estate,20d,1106,0.005814160261711034,0.006090371359174673,-0.024981556949746325,0.0364744264162703,0.5422222222222223
MACD,golden,bull,Unknown,20d,5806,0.009507174812633898,0.010201136448422021,-0.032617874541145925,0.051677447324266934,0.5583134988099286
MACD,golden,bull,Utilities,20d,1202,0.007513712721501924,0.013556744233149454,-0.021193521936657744,0.040234610663231696,0.6021241830065359
