date,ticker,close,entry_signal,exit_signal,sma_fast_col,sma_slow_col,trend_up,trend_down,rsi_not_hot,nn_prob,nn_bullish,nn_bearish,entry_long,exit_long
2017-06-12,FB,148.44,True,False,150.6135,146.43133333333336,1,0,1,0.5682157009851911,1,0,1,0
2017-06-12,GE,28.94,False,True,27.839499999999997,28.955,0,1,1,0.5873695611074888,1,0,0,1
2017-06-12,GOOG,942.9,True,False,957.568,893.1138333333332,1,0,1,0.7500670923403535,1,0,1,0
2017-06-12,GOOGL,961.81,True,False,978.7270000000001,913.11075,1,0,1,0.7520655847084252,1,0,1,0
2017-06-12,JPM,86.98,False,True,84.75699999999999,86.26483333333334,0,1,1,0.5142369579940239,0,0,0,1
2017-06-12,MSFT,69.78,True,False,69.8775,67.681,1,0,1,0.5814484845738964,1,0,1,0
2017-06-12,NFLX,151.44,True,False,160.467,152.31983333333332,1,0,1,0.9029798787128651,1,0,1,0
2017-06-12,XOM,82.93,False,True,81.56,81.84633333333335,0,1,1,0.4328170923815646,0,1,0,1
2017-06-13,AAPL,146.59,True,False,152.73600000000002,147.54816666666665,1,0,1,0.7088010231866292,1,0,1,0
2017-06-13,AMZN,980.79,True,False,984.6785,931.0794999999999,1,0,1,0.6102080696214919,1,0,1,0
2017-06-13,BAC,23.77,False,True,23.023000000000003,23.286166666666666,0,1,1,0.5846848115732818,1,0,0,1
2017-06-13,C,64.69,False,False,61.894499999999994,60.22816666666667,1,0,0,0.569832475403432,1,0,0,0
2017-06-13,FB,150.68,True,False,150.63799999999998,146.612,1,0,1,0.6438768595140442,1,0,1,0
2017-06-13,GE,28.45,False,True,27.852999999999998,28.931166666666666,0,1,1,0.5712015289960858,1,0,0,1
2017-06-13,GOOG,953.4,True,False,958.384,894.8018333333333,1,0,1,0.617019388038159,1,0,1,0
2017-06-13,GOOGL,970.5,True,False,979.2909999999999,914.74625,1,0,1,0.6276944550261476,1,0,1,0
2017-06-13,JPM,87.27,False,True,84.7535,86.208,0,1,1,0.5657018933341047,1,0,0,1
2017-06-13,MSFT,70.65,True,False,69.9885,67.77733333333333,1,0,1,0.6210577410691229,1,0,1,0
2017-06-13,NFLX,152.72,True,False,160.102,152.4466666666667,1,0,1,0.7890051730130917,1,0,1,0
2017-06-13,XOM,82.96,False,True,81.56800000000001,81.86233333333334,0,1,1,0.5549622968846895,1,0,0,1
2017-06-14,AAPL,145.16,True,False,152.2205,147.6098333333333,1,0,1,0.7666253702300242,1,0,1,0
2017-06-14,AMZN,976.47,True,False,985.1985000000001,933.0711666666666,1,0,1,0.6857143915193323,1,0,1,0
2017-06-14,BAC,23.76,False,True,23.0115,23.274833333333333,0,1,1,0.5018534796595451,0,0,0,1
2017-06-14,C,64.72,False,False,62.00599999999999,60.31366666666666,1,0,0,0.572769361793982,1,0,0,0
2017-06-14,FB,150.25,True,False,150.6615,146.78383333333332,1,0,1,0.6345221917056562,1,0,1,0
2017-06-14,GE,28.69,False,True,27.885499999999997,28.913666666666668,0,1,1,0.5623331355192698,1,0,0,1
2017-06-14,GOOG,950.76,True,False,958.7719999999999,896.5078333333333,1,0,1,0.6160404460297727,1,0,1,0
2017-06-14,GOOGL,967.93,True,False,979.457,916.4132500000001,1,0,1,0.6186310548291808,1,0,1,0
2017-06-14,JPM,87.09,False,True,84.72749999999999,86.159,0,1,1,0.527717950517219,0,0,0,1
2017-06-14,MSFT,70.27,True,False,70.0315,67.86633333333333,1,0,1,0.6610576510796644,1,0,1,0
2017-06-14,NFLX,152.2,True,False,159.74150000000003,152.55283333333333,1,0,1,0.8048970290402838,1,0,1,0
2017-06-14,XOM,82.07,False,True,81.544,81.8635,0,1,1,0.5566839840213604,1,0,0,1
2017-06-15,AAPL,144.29,True,False,151.92249999999999,147.68400000000003,1,0,1,0.7642100641768992,1,0,1,0
2017-06-15,AMZN,964.17,True,False,986.1689999999999,935.0873333333333,1,0,1,0.8342579235442084,1,0,1,0
2017-06-15,BAC,23.54,False,True,23.06,23.2835,0,1,1,0.5981944466926296,1,0,0,1
2017-06-15,C,64.1,True,False,62.212,60.41466666666667,1,0,1,0.583084756496629,1,0,1,0
2017-06-15,FB,149.8,True,False,150.90900000000002,146.972,1,0,1,0.6679153025608575,1,0,1,0
2017-06-15,GE,28.94,False,True,27.962,28.906166666666664,0,1,1,0.5384857447410593,0,0,0,1
2017-06-15,GOOG,942.31,True,False,959.9065,898.372,1,0,1,0.7885673408324889,1,0,1,0
2017-06-15,GOOGL,960.18,True,False,980.3574999999998,918.2472500000001,1,0,1,0.7987892719670989,1,0,1,0
2017-06-15,JPM,86.57,False,True,84.8425,86.14533333333333,0,1,1,0.573769358210255,1,0,0,1
2017-06-15,MSFT,69.9,True,False,70.1525,67.96116666666667,1,0,1,0.6653661488120769,1,0,1,0
2017-06-15,NFLX,151.76,True,False,159.6695,152.70850000000002,1,0,1,0.8122115605361475,1,0,1,0
2017-06-15,XOM,82.26,False,True,81.5575,81.87066666666666,0,1,1,0.5470292092361079,0,0,0,1
2017-06-16,AAPL,142.27,True,False,151.409,147.69816666666668,1,0,1,0.7442198668784465,1,0,1,0
2017-06-16,AMZN,987.71,False,False,987.6300000000001,937.4148333333335,1,0,1,0.5401617378846032,0,0,0,0
2017-06-16,BAC,23.43,False,True,23.0945,23.291666666666668,0,1,1,0.6034104025279705,1,0,0,1
2017-06-16,C,63.89,True,False,62.402499999999996,60.516666666666666,1,0,1,0.580669474964943,1,0,1,0
2017-06-16,FB,150.64,False,False,151.058,147.15616666666665,1,0,1,0.5412019565148289,0,0,0,0
2017-06-16,GE,29.0,False,True,28.038,28.897333333333336,0,1,1,0.43768853394293405,0,1,0,1
2017-06-16,GOOG,939.78,True,False,960.3834999999999,900.2085,1,0,1,0.6602892612455314,1,0,1,0
2017-06-16,GOOGL,958.62,True,False,980.7635,920.0609166666667,1,0,1,0.6793485561481475,1,0,1,0
2017-06-16,JPM,86.18,False,True,84.95349999999999,86.12283333333333,0,1,1,0.5726405348157523,1,0,0,1
2017-06-16,MSFT,70.0,False,True,70.267,68.044,1,0,1,0.44055929936129096,0,1,0,1
2017-06-16,NFLX,152.38,True,False,159.5035,152.8706666666667,1,0,1,0.6478652466457088,1,0,1,0
2017-06-16,XOM,83.49,False,True,81.64450000000001,81.8995,0,1,1,0.40239570786782924,0,1,0,1
2017-06-19,AAPL,146.34,True,False,151.073,147.78850000000003,1,0,1,0.6552290103831023,1,0,1,0
2017-06-19,AMZN,995.17,True,False,989.3965000000001,939.878,1,0,1,0.6541114259859466,1,0,1,0
2017-06-19,BAC,23.91,False,True,23.1375,23.30566666666667,0,1,1,0.623363979539743,1,0,0,1
2017-06-19,C,64.48,False,False,62.57149999999999,60.62383333333333,1,0,1,0.5188112542882192,0,0,0,0
2017-06-19,FB,152.87,True,False,151.2985,147.3785,1,0,1,0.5684275037788393,1,0,1,0
2017-06-19,GE,28.8,False,True,28.075499999999998,28.883666666666667,0,1,1,0.5990275015064896,1,0,0,1
2017-06-19,GOOG,957.37,True,False,961.5514999999999,902.5383333333334,1,0,1,0.6099824481249002,1,0,1,0
2017-06-19,GOOGL,975.22,True,False,981.792,922.3204166666667,1,0,1,0.6197101231631238,1,0,1,0
2017-06-19,JPM,88.07,False,True,85.118,86.13416666666666,0,1,1,0.6258461251501893,1,0,0,1
2017-06-19,MSFT,70.87,True,False,70.426,68.144,1,0,1,0.5879492122645774,1,0,1,0
2017-06-19,NFLX,153.4,True,False,159.32250000000002,153.06333333333336,1,0,1,0.5855595399927837,1,0,1,0
2017-06-19,XOM,82.76,False,True,81.686,81.9145,0,1,1,0.6130785149379498,1,0,0,1
2017-06-20,AAPL,145.01,True,False,150.624,147.86133333333333,1,0,1,0.6167116855146118,1,0,1,0
2017-06-20,AMZN,992.59,True,False,990.4925,942.3276666666666,1,0,1,0.6632949409735474,1,0,1,0
2017-06-20,BAC,23.49,False,True,23.160000000000004,23.311833333333333,0,1,1,0.655852443484233,1,0,0,1
2017-06-20,C,63.91,True,False,62.714,60.72116666666667,1,0,1,0.5690362994221305,1,0,1,0
2017-06-20,FB,152.25,True,False,151.499,147.57700000000003,1,0,1,0.5947333853153143,1,0,1,0
2017-06-20,GE,28.13,False,True,28.072999999999997,28.857166666666664,0,1,1,0.6807634884918025,1,0,0,1
2017-06-20,GOOG,950.63,True,False,961.99,904.8083333333333,1,0,1,0.6454260502710314,1,0,1,0
2017-06-20,GOOGL,968.99,True,False,982.0379999999999,924.55125,1,0,1,0.6618094892355404,1,0,1,0
2017-06-20,JPM,87.52,False,True,85.259,86.13799999999999,0,1,1,0.5460391438928999,0,0,0,1
