date,ticker,close,entry_signal,exit_signal,sma_fast_col,sma_slow_col,trend_up,trend_down,rsi_not_hot,nn_prob,nn_bullish,nn_bearish,entry_long,exit_long
2017-01-04,AAPL,116.02,True,False,115.23600000000002,113.4965,1,0,1,0.5947883219761898,1,0,1,0
2017-01-04,AMZN,757.18,False,True,764.8665,778.1286666666667,0,1,1,0.5739863754262707,1,0,0,1
2017-01-04,BAC,22.95,True,False,22.598000000000003,19.6495,1,0,1,0.6182997996340706,1,0,1,0
2017-01-04,FB,118.69,False,True,118.325,122.15916666666666,0,1,1,0.5859620126918564,1,0,0,1
2017-01-04,GOOG,786.9,True,False,786.885,779.6366666666667,1,0,1,0.5929969232985487,1,0,1,0
2017-01-04,GOOGL,807.77,True,False,806.0939999999999,799.7808333333334,1,0,1,0.5620728702110295,1,0,1,0
2017-01-04,MSFT,62.3,True,False,62.5345,60.438333333333325,1,0,1,0.5947883219761898,1,0,1,0
2017-01-04,NVDA,104.39,True,False,101.5375,85.56366666666666,1,0,1,0.7318102275833634,1,0,1,0
2017-01-05,AAPL,116.61,True,False,115.56899999999999,113.50583333333333,1,0,1,0.5951461210043635,1,0,1,0
2017-01-05,AMZN,780.45,False,True,765.653,777.1076666666667,0,1,1,0.7019876405601299,1,0,0,1
2017-01-05,BAC,22.68,True,False,22.624,19.75583333333333,1,0,1,0.5623605465543094,1,0,1,0
2017-01-05,FB,120.67,False,True,118.49299999999998,121.99966666666667,0,1,1,0.5949335491807457,1,0,0,1
2017-01-05,GOOG,794.02,True,False,788.6305,779.7713333333334,1,0,1,0.5968211114460688,1,0,1,0
2017-01-05,GOOGL,813.02,True,False,807.936,799.7616666666667,1,0,1,0.597659518444297,1,0,1,0
2017-01-05,MSFT,62.3,True,False,62.652,60.50933333333333,1,0,1,0.5819488016262122,1,0,1,0
2017-01-05,NVDA,101.74,True,False,101.955,86.14099999999999,1,0,1,0.5664677810282115,1,0,1,0
2017-01-06,AAPL,117.91,True,False,115.91300000000001,113.53266666666667,1,0,1,0.6109036019186632,1,0,1,0
2017-01-06,AMZN,795.99,False,True,766.9315,776.5241666666667,0,1,1,0.6220637161196299,1,0,0,1
2017-01-06,BAC,22.68,True,False,22.6295,19.865333333333332,1,0,1,0.5971670891793032,1,0,1,0
2017-01-06,FB,123.41,False,True,118.766,121.9085,0,1,1,0.5851090885928167,1,0,0,1
2017-01-06,GOOG,806.15,True,False,790.3785,780.1560000000001,1,0,1,0.5892306947754594,1,0,1,0
2017-01-06,GOOGL,825.21,True,False,809.6229999999999,800.0223333333332,1,0,1,0.5924183205809451,1,0,1,0
2017-01-06,MSFT,62.84,True,False,62.7255,60.60349999999999,1,0,1,0.5989180647730709,1,0,1,0
2017-01-06,NVDA,103.1,True,False,102.35650000000001,86.75716666666668,1,0,1,0.6308643458436022,1,0,1,0
2017-01-09,AAPL,118.99,False,False,116.2565,113.56016666666667,1,0,0,0.5700537851646689,1,0,0,0
2017-01-09,AMZN,796.92,False,True,768.4110000000001,775.9046666666667,0,1,1,0.5995128628683207,1,0,0,1
2017-01-09,BAC,22.55,True,False,22.6095,19.973999999999997,1,0,1,0.5892848945432634,1,0,1,0
2017-01-09,FB,124.9,False,True,119.0655,121.83933333333333,0,1,1,0.5550926452759259,1,0,0,1
2017-01-09,GOOG,806.65,True,False,791.8900000000001,780.4978333333333,1,0,1,0.5998942167993758,1,0,1,0
2017-01-09,GOOGL,827.18,True,False,811.2235,800.2791666666667,1,0,1,0.5986528036429745,1,0,1,0
2017-01-09,MSFT,62.64,True,False,62.807,60.69566666666667,1,0,1,0.5947883219761898,1,0,1,0
2017-01-09,NVDA,107.28,True,False,103.0465,87.438,1,0,1,0.6287438551633238,1,0,1,0
2017-01-10,AAPL,119.11,False,False,116.5145,113.59566666666666,1,0,0,0.5918905798641112,1,0,0,0
2017-01-10,AMZN,795.9,False,True,769.773,775.3483333333334,0,1,1,0.5912005540798614,1,0,0,1
2017-01-10,BAC,22.94,True,False,22.602,20.092499999999998,1,0,1,0.618724491341409,1,0,1,0
2017-01-10,FB,124.35,False,True,119.299,121.78150000000001,0,1,1,0.581243883433667,1,0,0,1
2017-01-10,GOOG,804.79,True,False,792.665,780.9411666666667,1,0,1,0.5918905798641112,1,0,1,0
2017-01-10,GOOGL,826.01,True,False,812.0515,800.6446666666667,1,0,1,0.5918905798641112,1,0,1,0
2017-01-10,MSFT,62.62,True,False,62.8395,60.79066666666667,1,0,1,0.5918905798641112,1,0,1,0
2017-01-10,NVDA,106.47,False,False,103.779,88.12333333333332,1,0,1,0.5391565014499898,0,0,0,0
2017-01-11,AAPL,119.75,False,False,116.83700000000002,113.631,1,0,0,0.5838697160232199,1,0,0,0
2017-01-11,AMZN,799.02,False,True,771.7180000000001,774.9493333333334,0,1,1,0.5918905798641112,1,0,0,1
2017-01-11,BAC,23.07,True,False,22.625,20.21033333333333,1,0,1,0.5996144769592894,1,0,1,0
2017-01-11,FB,126.09,False,True,119.71499999999999,121.75166666666668,0,1,1,0.5941979714694591,1,0,0,1
2017-01-11,GOOG,807.91,True,False,793.597,781.4308333333333,1,0,1,0.5918905798641112,1,0,1,0
2017-01-11,GOOGL,829.86,True,False,813.1495,801.0656666666667,1,0,1,0.5918905798641112,1,0,1,0
2017-01-11,MSFT,63.19,True,False,62.890499999999996,60.886833333333335,1,0,1,0.5918905798641112,1,0,1,0
2017-01-11,NVDA,105.16,True,False,104.5575,88.77616666666667,1,0,1,0.5726788644148918,1,0,1,0
2017-01-12,AAPL,119.25,True,False,117.04,113.65933333333334,1,0,1,0.5631625324069177,1,0,1,0
2017-01-12,AMZN,813.64,False,True,773.683,774.9608333333333,0,1,1,0.56564442952655,1,0,0,1
2017-01-12,BAC,22.92,False,False,22.6405,20.324833333333334,1,0,1,0.5123227109320615,0,0,0,0
2017-01-12,FB,126.62,False,True,120.03049999999999,121.73633333333333,0,1,1,0.5918905798641112,1,0,0,1
